shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
56,1833,1346,5,2,3,119, DHL    , In Transit,565.823124227296,590.2864551230392, 58dfbcb0-d822-467f-bb10-61c5c7c5ce2b, Weather
57,57,264,9,2,1,42, DHL    , Delayed   ,858.8064578748972,738.8061014516884, b846881b-ec30-4ec1-8c88-5b5020e04490, None
58,922,1919,10,4,5,623, DHL    , Delayed   ,545.489332206419,839.3443375736462, 33eb3f5e-8535-4ecc-a029-a53be3d52c80, Mechanical
59,1646,1458,15,3,5,462, FedEx  , In Transit,233.2768425492642,73.6590938135372, a5489616-42a1-43f9-ab2e-bad95072437a, Weather
60,299,1516,1,3,2,903, FedEx  , Delivered ,598.8889216021478,94.31027158519994, fc06fd4b-c689-4980-b817-5245f8c552f2, None
61,228,703,17,2,3,988, DHL    , Delivered ,252.79431933949013,1672.6798769187749, edb87250-c112-4d17-95cd-643782248b0c, Mechanical
62,10,878,3,5,5,224, UPS    , Delayed   ,362.7258026309086,544.4436932523002, 857d52b7-ca1d-4288-928a-077e27f67e12, Customs
63,2001,2025,2,5,1,348, UPS    , In Transit,667.7704523373226,1008.8404723792664, 286fe342-fa98-4b9c-8264-dfbf2071e920, Mechanical
64,68,1543,20,2,1,189, UPS    , In Transit,194.58195687328703,739.1660539197507, 647509ee-f7fe-4b94-85f6-5bfd15f325c0, None
65,540,153,8,1,3,470, USPS   , Delivered ,705.2848302940297,1177.4031479227428, 265617b1-92e8-4ac4-8fd5-e20a34fc6919, None
66,1542,612,18,5,1,216, DHL    , Delivered ,452.2472570869317,734.7485611256885, a5d66b31-079a-46c8-950e-cc684006d32a, Customs
67,1433,46,11,3,3,570, UPS    , Delayed   ,930.7438988142666,1304.574311826864, f0de4ecf-ca56-46f7-b22f-66d2794d116d, Customs
68,2178,522,10,3,3,518, USPS   , Delivered ,694.046122767486,874.3992870679118, 93a07f9f-5fee-4d77-971f-1e17b44afa8f, Customs
69,1281,158,16,2,2,162, DHL    , In Transit,369.15839550692726,1048.6760909420618, 0fea512a-e162-4c7c-9f9b-01fadc6607f5, None
70,1177,47,15,3,3,660, DHL    , In Transit,895.1716338160296,180.2632288426336, b4bf7cd4-871e-476f-87c0-f6e791a3f402, Mechanical
71,1310,79,2,3,4,556, DHL    , In Transit,284.54341832697594,583.3704862609274, b2bc746a-94cf-472d-a5ed-78bf24ab0685, Weather
72,1490,760,17,3,2,619, UPS    , Delayed   ,589.0154237733346,247.72566801334523, f3bd4634-71da-4e22-bd1d-1f28500f5067, Weather
73,55,2028,8,1,2,495, DHL    , Delivered ,916.611765603948,1121.8128521668489, 97799f24-175d-4cc3-8a3b-1601b0cecda2, Customs
74,1335,1876,20,5,4,498, FedEx  , In Transit,902.4989349312052,1185.9730176090802, 78bd9181-71f3-4511-a0f0-fc5a2073b95d, Customs
75,1092,197,2,3,5,424, USPS   , In Transit,936.2468423455172,1016.0013749418938, ffd9d293-79ba-4c8b-ba1b-2be8c931ceb1, Customs
76,271,43,19,2,1,573, DHL    , Delayed   ,497.0770587008523,1381.5795919858588, 19540e78-e7dc-4666-a1d4-685ce74cd723, None
77,1260,1677,3,1,2,859, DHL    , Delayed   ,109.45184274230888,1637.9015410393972, 0f775d18-6ed3-4b06-8918-d3ec370ec1e7, Mechanical
78,569,1044,19,5,3,504, FedEx  , Delivered ,214.9510983521661,1437.343796489902, 547fd733-c6f0-47cb-851b-883d7b46370d, Weather
79,2046,1992,8,1,4,662, DHL    , Delayed   ,836.6595218475157,1028.653135658529, e7c808df-3f9a-48a2-8ec1-cc8f3a5a00ec, None
80,1050,1950,10,5,4,802, FedEx  , Delayed   ,931.1027725494988,1098.3576625934331, b0d702d1-a8ef-423a-9f19-e45ca188328d, Customs
81,183,955,11,2,5,538, FedEx  , Delivered ,741.2324553201997,282.8874129459116, cef0e429-2e49-4728-8086-e5229ea85e23, None
82,1944,776,11,1,5,109, UPS    , In Transit,752.0528431799905,1039.2457942742355, e8064eb4-b319-4080-9e31-e6c204d59b82, None
83,792,1734,15,3,2,940, UPS    , In Transit,471.03112140384496,839.3556418670066, a8185286-01e6-4c16-af2f-3af114a5310a, None
84,199,1078,17,1,5,318, USPS   , In Transit,325.515114136532,1843.775747400293, 98da17bf-b48a-4154-8e2a-883682f9a480, None
85,1676,884,20,4,1,974, USPS   , Delayed   ,643.0863194967545,857.8729547866888, a9e953b1-6e9b-4d8e-b308-dfe24f694797, Mechanical
86,1987,710,7,5,1,616, USPS   , In Transit,575.2301427045746,1094.921346338357, 4d86f500-6873-4a6a-919d-878711afab65, None
87,1987,1047,19,3,5,481, DHL    , Delivered ,853.6726132411034,1422.6114387756552, 4e125fcc-5a00-4a5c-8a86-c1dbce0ffd4d, Weather
88,1824,2081,19,1,4,746, USPS   , Delayed   ,806.6108975800422,868.0066228102975, c59d9060-8612-4e6e-9f08-1dddabb11900, None
89,1675,1664,9,4,2,869, FedEx  , Delayed   ,749.3731085149772,599.7189662801296, 6f95d6e6-b1d1-49d4-a3f7-93bf33b1d74a, Weather
90,750,1103,12,5,5,665, DHL    , Delivered ,708.9683873098078,19.492495016003097, fb215b0e-902a-48d9-ba24-7b5e6df0a180, None
91,521,1117,10,2,5,931, UPS    , Delayed   ,871.412317388855,949.9841131745154, 0d0bba4d-6b4c-43e4-9df8-299d604bef43, None
92,535,100,18,1,5,68, USPS   , In Transit,269.1743968972828,395.0959336618678, 89f057b0-7c25-4568-ae21-fce08a32c072, None
93,2036,160,20,3,3,51, DHL    , In Transit,86.62547451350139,1072.1765738612517, a1955e2b-a8a1-4056-96dd-4db6df1196bd, Weather
94,374,1104,7,2,2,448, UPS    , In Transit,337.9117051439998,450.1581861123907, 90c6a242-408a-4283-9074-b7181d61a472, Mechanical
95,1241,2045,8,3,5,961, USPS   , Delayed   ,856.2648723968246,583.8290969286268, 2f02fb3d-8901-4eda-86a6-d94607ffbaf7, Mechanical
96,1322,972,17,2,5,305, FedEx  , Delivered ,154.61757920478058,836.034627130085, 54ee457c-49b3-49b9-905c-58e9cafc80ba, Customs
97,1212,1922,6,4,1,306, USPS   , Delayed   ,403.0591183589309,1981.5891749302464, a29ffb2a-cdac-482a-a95d-6999c6f97b32, Weather
98,463,1331,19,4,4,340, FedEx  , Delayed   ,534.9206040515518,1918.5921837082929, 64c95a77-ca6b-44c8-8aff-7af4a09a3554, Mechanical
99,2034,1348,9,3,3,621, UPS    , Delivered ,490.0420731858532,922.7353892564282, cfe4b5b0-e068-4654-b98c-64154df43201, Weather
100,1794,1200,6,3,4,300, FedEx  , Delivered ,434.0143769071168,1348.122425036718, 4bca240b-ca97-4964-8f6c-c3db6c467913, Mechanical
101,1833,680,16,3,5,472, DHL    , Delayed   ,145.41476995266245,1028.8943287303855, 4122eb8c-06f1-4bc9-9447-ad4731460a17, None
102,483,649,1,3,5,376, USPS   , In Transit,733.7772815888084,1830.713812461837, 1f979aa2-8585-45f8-80c2-2300e7e6d4e7, Weather
103,1793,821,16,1,1,121, UPS    , Delivered ,259.25017767643,1394.0410556598465, 565925ea-2168-4f09-852d-006d4ff1ef88, Mechanical
104,102,89,13,2,3,551, DHL    , Delivered ,748.014065378017,1811.2186800607649, 36a019ec-9d03-4602-b4a1-4940a33f6191, None
105,1320,736,14,5,2,995, FedEx  , In Transit,40.97496682638968,1798.7254789727306, 0679a768-a759-41b7-a9ed-42d0cee785c3, Weather
106,381,610,3,1,1,887, DHL    , Delivered ,495.4138262488228,530.0599116919014, 29c1191d-76c1-44a8-bfbb-1f639b3d0a41, Weather
107,853,1167,7,1,1,149, USPS   , Delivered ,975.6026243302932,1934.1374645025635, 53140186-f74f-49ab-9d76-25366183ec95, None
108,159,1024,15,3,5,68, USPS   , Delivered ,997.802616056791,1091.5183431471348, 2e4bf843-d607-45e9-b6ea-f1ccc5ca49af, Weather
109,1219,1574,13,4,4,427, USPS   , In Transit,878.6453866033316,817.5814040279153, d57b877c-a3ad-4dd8-b586-0156167582ae, None
110,621,183,12,3,1,67, FedEx  , Delayed   ,558.3273500907661,857.8353866733578, a8f3fd7b-7900-41f8-984d-519108146a9f, Customs
111,1912,346,18,3,2,74, UPS    , Delivered ,982.0311447599752,626.8693728818087, f57d6a79-bebe-4101-9222-c1f75da703eb, Customs
112,1514,93,12,2,1,418, FedEx  , Delayed   ,999.5098642106132,1860.5496902840205, 5e8547ae-820a-4a41-a087-b985c3a30293, Mechanical
113,777,1115,13,4,1,924, USPS   , Delivered ,544.8711158769106,1831.3951602918232, d8235095-d993-474a-b67a-bc560bdc0d34, None
114,1587,622,17,3,2,974, FedEx  , Delivered ,81.59163671549611,1773.600049791918, f5b69ece-3cde-4251-bbb0-17a0d527012b, Customs
115,1176,460,3,4,2,457, FedEx  , Delayed   ,589.0066132024916,1346.0650398021955, 55a0a9fb-a3da-462e-99f2-3ed63e07d6f5, Mechanical
116,309,573,15,4,1,922, DHL    , Delayed   ,347.74881028039994,165.10522110375072, b7a9f893-b80a-4407-912c-bad97f28d403, Weather
117,1183,1179,4,3,2,999, UPS    , In Transit,230.16076386565248,1166.8637491353304, e7c416dd-dbff-4c0a-ad8d-f0ffc745cb13, Mechanical
118,857,1532,9,2,5,142, USPS   , Delivered ,249.56753384582404,1808.3620302664945, c9390d87-0735-4eb9-9d67-47be64b3025a, Mechanical
119,132,2111,4,2,5,10, FedEx  , Delayed   ,573.5860847322988,1445.4399942622988, 93a2d6ec-0066-4c61-88bd-e83044897ea7, Customs
120,1013,365,2,5,4,708, USPS   , In Transit,978.7736744668946,375.93941648643175, 60dd6b5d-6a1c-403d-ba77-9e75ecf2321e, None
121,1529,763,6,3,2,687, USPS   , In Transit,711.3473051935412,100.9845681237251, 24adeab8-db65-45df-a3fe-c608deab94d8, Weather
122,1049,2029,15,5,5,301, FedEx  , In Transit,387.7490163907089,787.210461219524, 0668d2f4-21e2-4443-aff3-173d3d512f59, Mechanical
123,1853,2143,20,1,2,645, USPS   , In Transit,960.4588585469372,130.63858091495723, adde1fa8-2bc8-419d-b6ba-fb29cbc106b9, Weather
124,1120,928,9,5,1,938, FedEx  , Delayed   ,720.7570308680959,548.2071577461362, 9a755160-e910-4da7-a68e-97b8516b4e80, None
125,1879,2082,8,5,5,618, USPS   , In Transit,663.5173145572758,1636.2560741855675, 2ddbbd63-976e-48ac-8f08-329c9bc7a654, Mechanical
126,746,1786,15,2,3,565, UPS    , Delivered ,275.4173390068984,1305.4779304040503, 4a438f4e-da2d-4278-9ff1-a7b99f1b8d42, Customs
127,701,281,3,3,2,455, FedEx  , Delivered ,104.62850671766428,834.7653646283692, 93ba2912-b6d5-4a3c-b98e-3f70b7ea1875, None
128,735,579,6,5,5,974, FedEx  , In Transit,225.27104527316985,609.4479629109622, 9bdbdf27-1c0d-4d60-affd-1c2f347bf46b, None
129,1385,1582,14,5,3,843, FedEx  , Delayed   ,62.35246994971647,1193.9932315576075, a55b19f0-b10e-425f-9d2b-6cbee11c1dd5, Customs
130,1517,759,10,2,2,146, DHL    , Delayed   ,748.682172181484,1308.5215222205318, 27f0b345-7b9d-449d-851c-941cb3e9f9e2, Weather
131,88,182,19,3,3,157, UPS    , Delayed   ,389.71766245705817,1082.3254027174744, 7ace135e-caf7-4881-9f2f-b3d608774266, Weather
132,2121,1622,18,2,5,599, USPS   , Delayed   ,250.85407950501735,522.1566775180111, 79af0a87-9ee0-4334-b438-7dec722bf503, Weather
133,385,1768,20,3,4,188, DHL    , Delivered ,668.4595127477513,1229.234626270102, 36eff58c-3f28-417f-affb-599b6fb8ebff, Weather
134,1209,1560,18,5,3,131, FedEx  , Delivered ,809.3432790448173,1562.7930525513889, 1085e5a8-7362-405e-a869-1d6caba42bd3, Mechanical
135,1854,686,1,2,5,772, DHL    , In Transit,615.6700548609133,580.2100325601922, d5b0d16d-1ab5-4077-803c-62a03e918e9c, None
136,978,988,14,3,1,58, FedEx  , Delivered ,214.39681582276856,1398.4681594174942, 7f89517b-f501-49d9-b2d7-4cbe2d72f777, Customs
137,714,1937,20,5,4,446, DHL    , Delayed   ,644.2976268310612,780.0045455596808, 99be59a4-5834-4ab2-b86d-370e9999d89a, None
138,1731,1431,15,1,3,161, DHL    , Delayed   ,384.5683467132397,1900.8568112182863, 47b3f700-63e8-48a9-87b3-b1c91056b554, Weather
139,1138,1903,4,4,3,579, DHL    , Delayed   ,979.980635190086,1711.3945234899902, 5d4e6a58-e727-42bf-9fb6-21375e03fb06, Customs
140,28,46,18,5,5,668, UPS    , In Transit,351.5317959925416,1196.7480806531332, 2848d529-52ad-4faf-9723-c838ae36ad04, Mechanical
141,822,1343,4,5,1,685, USPS   , Delayed   ,171.45667487077827,1999.2051219878065, 5177f464-5f7e-4ecc-b376-3784bb596322, Customs
142,1529,2048,3,4,3,229, USPS   , Delivered ,325.9526352363457,1886.157963860758, d2d75b89-3d90-4a10-9790-96403ce4af8d, Weather
143,2014,2122,14,4,1,947, FedEx  , In Transit,975.1195165208856,469.6176924448033, 5acd021b-5013-4cd5-b393-fa710be98ea5, None
144,859,1558,5,1,5,369, USPS   , Delivered ,460.3752225736218,1933.228396793574, c333c3f4-b935-4caf-aedc-0a8464a45cb1, None
145,1393,1472,13,3,2,66, DHL    , Delayed   ,184.36837237306835,1312.5414769080296, f204af88-e2d1-4261-bb19-41a5b89a0244, Mechanical
146,195,362,15,3,5,741, UPS    , In Transit,107.8889818773814,759.7527674139207, 159bbde1-c4d9-4d15-83d7-063fdad81007, Weather
147,1348,1718,6,2,3,498, USPS   , In Transit,397.6280380601178,1212.0835999923086, dc859eaf-7dc0-49e6-8576-465197109c07, Mechanical
148,123,265,20,4,2,848, FedEx  , Delayed   ,194.4835263988486,1670.8908891451608, 9c779bee-ca3c-4734-b912-6dfcb52b0fdf, None
149,782,238,1,3,2,371, UPS    , Delayed   ,903.1475676755192,1102.2399297913726, bc150542-9e1b-426f-98ad-7a4704a5ba00, Customs
150,1080,551,9,1,1,834, FedEx  , Delivered ,941.9539665450582,398.89248387515954, c5cade71-4a18-47ee-9559-739506b6e6f9, Weather
151,705,1658,17,4,5,119, DHL    , In Transit,181.835038095082,52.15896256297061, 1c9d9004-d7a5-4d42-b7dc-8d799c3fcfd4, Weather
152,600,2104,12,4,3,431, FedEx  , Delayed   ,500.00291991811184,1627.6775322432272, 70a4e260-255a-4735-b18c-8af6b6646a10, Mechanical
153,768,377,2,5,2,766, DHL    , Delayed   ,866.862450091033,48.12017867719012, f9ea0b05-ffe7-4985-886b-8ade6b64aee7, Mechanical
154,983,1039,18,4,1,25, UPS    , In Transit,327.8073684647464,177.0228122682827, 880cadae-11a9-400c-8904-8cf232d6f7e4, Mechanical
155,1657,269,16,1,5,530, UPS    , Delayed   ,785.689585837219,636.8994096140125, d175e8bd-b248-4b17-bd07-b5594c6ca9b7, Mechanical
156,1606,1065,2,3,1,897, DHL    , Delivered ,553.9949287403102,1043.289202597868, de27e5c1-0572-4aa0-9a59-2b8c8dd4e595, None
157,512,1068,18,2,5,102, UPS    , Delayed   ,590.3492732916474,1751.0849714505475, ff5961ec-3c8a-4024-9325-43481a01350e, Weather
158,259,1668,2,3,4,508, UPS    , Delayed   ,261.85667201621266,290.94897875681164, 9ec426f3-31f7-4461-948b-b67db23f0ce8, Weather
159,2034,181,3,2,2,958, FedEx  , In Transit,455.6477884622975,1013.8864039656972, 8d0d3b83-5be2-4c4b-bb92-262c62bcc897, None
160,583,2180,2,5,5,343, FedEx  , Delivered ,321.75145421547063,337.5549431650104, 236b3fd3-d6d9-4cff-ba6e-25adc09deca6, Mechanical
161,956,1199,18,2,1,157, UPS    , In Transit,21.74996983547221,1912.8201219444377, f17387c4-18d9-4153-96c4-06cb7c184421, None
162,1082,1151,13,2,1,44, UPS    , Delayed   ,475.9894956997431,869.3042303740272, 26d35697-9c8b-4e9f-a023-bb383237a5d5, Mechanical
163,563,1077,16,2,2,877, USPS   , In Transit,515.376602452262,933.5114127889046, ace8fbb9-0914-4271-a413-603378c8d8c9, Customs
164,1285,1744,1,3,3,156, USPS   , Delivered ,225.739097100707,1586.719213162428, fc4d4b43-9f3a-463f-9b44-eaa3a3a78b9b, Mechanical
165,620,1128,16,3,2,201, UPS    , Delayed   ,821.9202635718593,551.968159015935, e676d8fd-a24c-4db5-8c9e-dc13120d1f18, Mechanical
166,2173,100,15,5,2,534, USPS   , Delayed   ,989.2494754087716,1550.7129224989096, 7bb6c63d-9129-4438-84e9-4a19bfb07183, Mechanical
167,378,852,20,3,3,635, DHL    , Delayed   ,163.4235868951889,1797.1717933601228, fd6271fa-98e9-46ab-b1ac-fd9e5ff0c49a, Customs
168,1035,1999,12,2,4,818, USPS   , Delayed   ,199.36465297251456,1195.2011608363437, 71600aaf-3562-4269-9d00-55824a16ce43, Weather
169,602,1893,6,1,3,127, FedEx  , In Transit,75.96535531422275,1284.227675381772, 7b545fd9-d536-417b-bf47-903e0fc728f5, Weather
170,9,2030,18,3,1,320, DHL    , Delayed   ,754.5759222886678,1532.525033006282, 1fd5d5ae-5803-4a91-bb88-2bb66350725a, Weather
171,1382,120,15,4,3,648, USPS   , In Transit,455.0740605999346,674.3842257111808, e70bd65e-8e13-42fa-b3d7-1a8de5fc4519, None
172,1979,1828,12,1,3,840, USPS   , Delayed   ,290.62496701276933,1090.0177633842138, e43eb632-ce74-436e-b1e9-b2653452209e, Customs
173,832,1794,13,3,5,626, FedEx  , In Transit,667.9907526274968,1344.5932339390745, 4903c149-2628-4480-901f-961010b27f7e, None
174,1888,1196,7,1,5,713, FedEx  , In Transit,66.75116713330893,30.657946857114755, d8bbce0f-78a2-4efb-9b37-ec3f4d307c32, Weather
175,2025,2045,13,1,2,395, DHL    , In Transit,673.1401176916683,1761.311797218534, 8f7e81c9-004f-4acc-9aa5-83b30766dcbf, Customs
176,242,383,9,1,4,787, USPS   , Delivered ,290.7462018096087,583.6116956855273, 8bed607d-81b6-4ecb-a11c-e53f004e8f21, None
177,467,588,15,4,2,776, USPS   , Delayed   ,326.96902903044605,889.6544513330442, 22e3ccfb-40d0-4a23-8f94-85f46c0ffbd1, Customs
178,180,1134,5,2,4,356, FedEx  , Delayed   ,832.3493923357697,934.7745028937184, 4e4dd571-6bea-4f50-9aa9-967609271f88, None
179,1606,2026,9,4,4,106, FedEx  , Delayed   ,350.92991285218574,1950.199413925373, d89e9330-3acf-4c6a-b0c5-340ac29880e8, None
180,1083,60,19,4,2,582, DHL    , In Transit,193.983175307973,1917.2295723534617, 85e09061-31b6-484e-bc02-2d4414534de1, Customs
181,1954,235,3,4,3,468, DHL    , Delayed   ,273.2036383058105,656.171765047758, 86b90264-dff7-4786-9ff9-8a6963db9d2b, Weather
182,289,2068,7,1,3,863, FedEx  , In Transit,634.2892854786295,1692.3131106277035, d8751803-86ea-4161-bbf0-caa11e91a767, Mechanical
183,1610,1038,13,4,1,526, DHL    , Delivered ,189.81319701673164,564.218509544006, cdefd6e2-2633-43c9-8d96-64b1605f0b45, Mechanical
184,1932,1598,19,2,4,865, DHL    , Delayed   ,394.6890435273023,1660.4321317883928, e375a564-eeef-41ed-93a3-3ce8db9b4ef4, Weather
185,389,276,7,2,1,596, FedEx  , In Transit,392.3087917968795,920.8551247204592, 1baadba2-a1b1-4c65-9a30-c0ea5944070b, Customs
186,563,962,8,2,3,69, DHL    , In Transit,10.424843520720945,1145.226758801295, 72d71c2c-96ca-458a-b567-723939f6a4bd, Weather
